month,excess_return,total_return,gross_return,cost,turnover,n_markets,equity_excess,equity_total
1999-01-01,-0.01836335,-0.01470455,-0.01636067,0.00200269,4.232943,22,6.451316,10.757767
1999-02-01,0.04767798,0.05133678,0.04997719,0.00229921,4.708492,23,6.758902,11.310036
1999-03-01,-0.03886212,-0.03505934,-0.03675531,0.00210681,4.096002,23,6.496236,10.913514
1999-04-01,0.06770970,0.07137650,0.07001602,0.00230633,4.852357,23,6.936095,11.692482
1999-05-01,0.02397760,0.02769242,0.02561035,0.00163274,2.716179,23,7.102405,12.016275
1999-06-01,0.01218406,0.01598684,0.01375082,0.00156676,2.811552,23,7.188942,12.208377
1999-07-01,-0.00058507,0.00331357,0.00087865,0.00146372,2.514638,23,7.184736,12.248831
1999-08-01,0.03227744,0.03615212,0.03408189,0.00180445,3.699928,23,7.416640,12.691652
1999-09-01,-0.01702504,-0.01296685,-0.01553472,0.00149032,2.689331,23,7.290372,12.527081
1999-10-01,-0.02428600,-0.02030755,-0.02225117,0.00203483,4.149795,23,7.113318,12.272687
1999-11-01,0.07305111,0.07722081,0.07513386,0.00208276,4.491495,23,7.632954,13.220394
1999-12-01,0.01809857,0.02241145,0.01946021,0.00136164,1.796899,23,7.771099,13.516682
2000-01-01,0.04739180,0.05172852,0.04884073,0.00144893,2.334128,23,8.139386,14.215880
2000-02-01,-0.01377741,-0.00909965,-0.01235111,0.00142630,2.439323,23,8.027246,14.086520
2000-03-01,-0.00230069,0.00239289,-0.00075613,0.00154457,2.517442,23,8.008778,14.120228
2000-04-01,0.09268221,0.09745491,0.09461732,0.00193511,3.456433,23,8.751049,15.496313
2000-05-01,0.00788068,0.01260593,0.00981539,0.00193470,3.638066,23,8.820013,15.691659
2000-06-01,-0.05497842,-0.05040363,-0.05245787,0.00252055,3.740825,23,8.335103,14.900742
2000-07-01,0.05255729,0.05732999,0.05615061,0.00359332,5.779476,23,8.773173,15.755002
2000-08-01,0.02234500,0.02742560,0.02489629,0.00255129,5.006599,23,8.969210,16.187092
2000-09-01,0.00107267,0.00618479,0.00358334,0.00251067,6.250436,23,8.978831,16.287206
2000-10-01,0.06508397,0.07013304,0.06729108,0.00220711,5.385185,23,9.563209,17.429477
2000-11-01,0.03807645,0.04324371,0.03924551,0.00116906,2.059315,23,9.927342,18.183192
2000-12-01,0.00873679,0.01377009,0.00976355,0.00102676,1.469284,23,10.014075,18.433576
2001-01-01,-0.02605370,-0.02127309,-0.02452447,0.00152922,2.971086,23,9.753171,18.041437
2001-02-01,0.03974873,0.04381489,0.04164799,0.00189925,3.989131,24,10.140847,18.831921
2001-03-01,0.08141874,0.08537326,0.08252981,0.00111107,1.568222,24,10.966502,20.439663
2001-04-01,-0.05568019,-0.05216559,-0.05449586,0.00118433,2.068622,24,10.355885,19.373416
2001-05-01,0.04687507,0.05010861,0.04860636,0.00173129,3.551775,24,10.841318,20.344191
2001-06-01,0.01819199,0.02116780,0.01970491,0.00151292,2.374929,24,11.038543,20.774832
2001-07-01,-0.05093295,-0.04794102,-0.04888415,0.00204880,4.028061,24,10.476318,19.778866
2001-08-01,0.00227618,0.00517937,0.00444024,0.00216406,4.499554,24,10.500164,19.881308
2001-09-01,0.02156372,0.02432958,0.02273010,0.00116639,2.007741,24,10.726586,20.365012
2001-10-01,0.05664138,0.05861971,0.05803988,0.00139850,2.726749,24,11.334155,21.558803
2001-11-01,-0.07464288,-0.07295039,-0.07340122,0.00124166,2.095756,24,10.488141,19.986080
2001-12-01,0.01423243,0.01570380,0.01583977,0.00160733,3.165441,24,10.637413,20.299937
2002-01-01,-0.00038409,0.00105447,0.00121147,0.00159556,3.790956,24,10.633327,20.321343
2002-02-01,0.00918686,0.01064183,0.01123692,0.00205006,4.450955,24,10.731014,20.537599
2002-03-01,-0.04689934,-0.04541978,-0.04479504,0.00210431,4.027362,24,10.227736,19.604786
2002-04-01,-0.03005969,-0.02858012,-0.02752576,0.00253393,7.112532,24,9.920294,19.044479
2002-05-01,0.06761901,0.06908218,0.06967041,0.00205140,5.620348,24,10.591094,20.360113
2002-06-01,0.04317812,0.04461668,0.04453004,0.00135192,2.691298,24,11.048398,21.268513
2002-07-01,-0.00393993,-0.00253418,-0.00239981,0.00154012,3.653573,24,11.004868,21.214615
2002-08-01,0.09643373,0.09784769,0.09778863,0.00135489,2.593752,24,12.066108,23.290416
2002-09-01,0.04728543,0.04868297,0.04843059,0.00114516,2.214957,24,12.636659,24.424263
2002-10-01,-0.03957860,-0.03827959,-0.03814122,0.00143739,3.096107,24,12.136518,23.489312
2002-11-01,0.00439148,0.00558363,0.00641849,0.00202701,4.828164,24,12.189815,23.620468
2002-12-01,0.08714957,0.08816060,0.08869933,0.00154976,3.265594,24,13.252153,25.702862
2003-01-01,0.07055370,0.07156472,0.07188890,0.00133521,3.149003,24,14.187141,27.542280
2003-02-01,0.02975597,0.03073402,0.03062900,0.00087304,1.295222,24,14.609293,28.388765
2003-03-01,-0.00781554,-0.00682100,-0.00675316,0.00106238,1.870867,24,14.495114,28.195126
2003-04-01,0.02122969,0.02217476,0.02253102,0.00130133,2.544716,24,14.802840,28.820346
2003-05-01,0.10384035,0.10477718,0.10548555,0.00164520,2.774395,24,16.339972,31.840060
2003-06-01,-0.06949006,-0.06856973,-0.06795431,0.00153575,3.736961,24,15.204507,29.656796
2003-07-01,-0.05757789,-0.05683096,-0.05550028,0.00207761,4.790238,24,14.329063,27.971371
2003-08-01,0.04461443,0.04541093,0.04681592,0.00220149,4.386413,24,14.968346,29.241578
2003-09-01,0.02125702,0.02207004,0.02308098,0.00182397,3.500159,24,15.286529,29.886940
2003-10-01,0.05410971,0.05489795,0.05561611,0.00150640,3.559701,24,16.113678,31.527672
2003-11-01,0.01086688,0.01166338,0.01219069,0.00132382,2.285094,24,16.288784,31.895391
2003-12-01,0.04949307,0.05026478,0.05099850,0.00150543,3.853741,24,17.094966,33.498606
2004-01-01,-0.00848941,-0.00770117,-0.00710381,0.00138560,3.341063,24,16.949839,33.240628
2004-02-01,0.04560205,0.04636550,0.04691240,0.00131036,2.817980,24,17.722787,34.781846
2004-03-01,0.02332658,0.02412308,0.02435197,0.00102539,2.040685,24,18.136199,35.620891
2004-04-01,-0.08490083,-0.08411258,-0.08333704,0.00156379,3.936193,24,16.596420,32.624726
2004-05-01,-0.00012886,0.00068416,0.00159779,0.00172665,4.199040,24,16.594282,32.647047
2004-06-01,0.00152378,0.00241935,0.00320637,0.00168259,4.020021,24,16.619568,32.726031
2004-07-01,0.01122794,0.01232957,0.01326386,0.00203592,4.720290,24,16.806171,33.129529
2004-08-01,-0.02178523,-0.02058485,-0.01949450,0.00229073,5.433747,24,16.440045,32.447563
2004-09-01,0.04209036,0.04340580,0.04406872,0.00197836,5.365873,24,17.132013,33.855975
2004-10-01,0.02791018,0.02932413,0.02897940,0.00106922,1.751529,24,17.610170,34.848773
2004-11-01,0.05908044,0.06065834,0.06006641,0.00098597,2.351085,24,18.650587,36.962641
2004-12-01,0.01281983,0.01465943,0.01366471,0.00084488,1.276027,24,18.889684,37.504493
2005-01-01,-0.01220319,-0.01037176,-0.01175851,0.00044469,1.386908,24,18.659169,37.115505
2005-02-01,-0.06548553,-0.06341755,-0.06470580,0.00077973,2.701714,24,17.437264,34.761731
2005-03-01,-0.01441440,-0.01214299,-0.01262857,0.00178583,7.958985,24,17.185916,34.339619
2005-04-01,-0.00804999,-0.00575420,-0.00655843,0.00149156,7.019164,24,17.047570,34.142022
2005-05-01,0.00281748,0.00520260,0.00377035,0.00095288,4.177305,24,17.095601,34.319650
2005-06-01,0.03076022,0.03321838,0.03168803,0.00092781,3.783561,24,17.621465,35.459693
2005-07-01,-0.02514004,-0.02256840,-0.02428090,0.00085915,3.328784,24,17.178461,34.659424
2005-08-01,0.02788690,0.03069318,0.02911501,0.00122811,5.467466,24,17.657515,35.723232
2005-09-01,0.00666384,0.00955089,0.00778674,0.00112289,4.802310,24,17.775182,36.064421
2005-10-01,0.04177486,0.04468613,0.04293344,0.00115858,5.578506,24,18.517738,37.676000
2005-11-01,0.05368894,0.05694660,0.05415412,0.00046519,1.080251,24,19.511935,39.821520
2005-12-01,-0.00344543,-0.00021189,-0.00256784,0.00087759,3.682069,24,19.444708,39.813083
2006-01-01,0.01322950,0.01656753,0.01447104,0.00124154,4.184496,24,19.701952,40.472687
2006-02-01,-0.01685320,-0.01320241,-0.01536055,0.00149265,6.840216,24,19.369911,39.938350
2006-03-01,0.05688483,0.06065564,0.05808885,0.00120402,4.941600,24,20.471765,42.360836
2006-04-01,0.04654573,0.05032453,0.04758385,0.00103812,4.638152,24,21.424639,44.492626
2006-05-01,-0.00742566,-0.00353501,-0.00667682,0.00074884,2.579856,24,21.265547,44.335344
2006-06-01,-0.02652632,-0.02256383,-0.02581890,0.00070742,3.146454,24,20.701450,43.334969
2006-07-01,-0.03319674,-0.02911465,-0.03224155,0.00095519,4.199042,24,20.014229,42.073287
2006-08-01,0.06349586,0.06764964,0.06518962,0.00169375,8.381104,24,21.285050,44.919529
2006-09-01,0.03286008,0.03697404,0.03410407,0.00124399,5.589805,24,21.984478,46.580386
2006-10-01,0.01999524,0.02398166,0.02094702,0.00095178,4.138156,24,22.424063,47.697461
2006-11-01,0.03016195,0.03429980,0.03142318,0.00126123,4.762118,24,23.100417,49.333474
2006-12-01,-0.01989070,-0.01579267,-0.01869046,0.00120024,6.073172,24,22.640933,48.554367
2007-01-01,0.04573499,0.04982505,0.04691526,0.00118027,6.413973,24,23.676416,50.973591
2007-02-01,-0.03166919,-0.02749949,-0.03114625,0.00052293,0.755478,24,22.926603,49.571843
2007-03-01,0.01673891,0.02094045,0.01780902,0.00107011,4.410822,24,23.310370,50.609900
2007-04-01,0.10937784,0.11348383,0.11067892,0.00130108,6.619231,24,25.860008,56.353305
2007-05-01,-0.02442493,-0.02042256,-0.02342107,0.00100386,4.180462,24,25.228379,55.202426
2007-06-01,0.08375663,0.08761534,0.08500519,0.00124856,7.136572,24,27.341423,60.039006
2007-07-01,-0.06774932,-0.06381874,-0.06711947,0.00062985,1.730104,24,25.489060,56.207392
2007-08-01,-0.04553620,-0.04149396,-0.04433618,0.00120003,5.261819,24,24.328385,53.875125
2007-09-01,-0.00320120,0.00008058,-0.00190583,0.00129537,6.416694,24,24.250505,53.879466
2007-10-01,0.06321253,0.06634145,0.06427989,0.00106736,4.783948,24,25.783441,57.453908
